,time,Day_of_week,Sex_of_driver,Area_accident,Type_of_vehicle,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions
7271,18:50:00,Wednesday,Male, Industrial areas,Automobile,other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown
7272,18:50:00,Wednesday,Male,Residential areas,Public (13?45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Unknown
7273,8:35:00,Wednesday,Male,Residential areas,Public (13?45 seats),other,No junction,Asphalt roads,Dry,Daylight,Other
7274,15:35:00,Monday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7275,17:15:00,Wednesday,Male,Office areas,Lorry (11?40Q),Double carriageway (median),No junction,Earth roads,Dry,Darkness - lights lit,Normal
7276,17:15:00,Wednesday,Male,Office areas,Automobile,other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7277,13:00:00,Sunday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7278,13:00:00,Sunday,Male,Office areas,Other,One way,Other,Asphalt roads,Dry,Daylight,Normal
7279,11:29:00,Sunday,Male,Office areas,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7280,11:29:00,Sunday,Male,Office areas,Lorry (11?40Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
7281,17:26:00,Tuesday,Male,Residential areas,Motorcycle,other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7282,13:23:00,Sunday,Male,Residential areas,Pick up upto 10Q,One way,No junction,Asphalt roads,Dry,Daylight,Other
7283,13:23:00,Sunday,Male,Other,Lorry (11?40Q),One way,No junction,Asphalt roads,Dry,Daylight,Other
7284,14:00:00,Wednesday,Male, Church areas,Lorry (11?40Q),Undivided Two way,Crossing,Gravel roads,Dry,Daylight,Raining
7285,14:00:00,Wednesday,Male,  Recreational areas,Automobile,other,Crossing,Asphalt roads,Dry,Daylight,Raining
7286,14:00:00,Wednesday,Male, Industrial areas,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Raining
7287,14:00:00,Wednesday,Male,Residential areas,Other,other,Crossing,Asphalt roads,Dry,Daylight,Raining
7288,3:00:00,Friday,Male,Residential areas,Other,other,Crossing,Asphalt roads,Dry,Darkness - no lighting,Normal
7289,3:00:00,Friday,Male,Office areas,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - no lighting,Normal
7290,8:30:00,Monday,Male,  Market areas,Taxi,Undivided Two way,O Shape,Asphalt roads,Wet or damp,Daylight,Unknown
7291,13:05:00,Monday,Male,Unknown,Other,other,No junction,Asphalt roads,Dry,Daylight,Normal
7292,13:05:00,Monday,Male, Industrial areas,Taxi,other,No junction,Asphalt roads,Dry,Daylight,Normal
7293,13:05:00,Monday,Male,Residential areas,Lorry (11?40Q),Two-way (divided with solid lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7294,18:08:00,Saturday,Male,Residential areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal
7295,18:08:00,Saturday,Male,Other,Other,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal
7296,18:08:00,Saturday,Male,Residential areas,Automobile,other,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal
7297,18:08:00,Saturday,Male,Rural village areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - no lighting,Normal
7298,17:00:00,Friday,Male,Rural village areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
7299,17:00:00,Friday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal
7300,13:15:00,Thursday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Unknown
7301,13:15:00,Thursday,Male,Residential areas,Other,other,No junction,Asphalt roads,Dry,Daylight,Unknown
7302,6:07:00,Thursday,Male, Outside rural areas,Pick up upto 10Q,other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7303,17:35:00,Tuesday,Male,Residential areas,Pick up upto 10Q,other,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
7304,17:38:00,Wednesday,Male, Church areas,Automobile,other,Crossing,Asphalt roads,Dry,Daylight,Normal
7305,17:38:00,Wednesday,Male,Office areas,Long lorry,Undivided Two way,Crossing,Earth roads,Dry,Daylight,Normal
7306,7:30:00,Wednesday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7307,18:00:00,Friday,Female,Office areas,Public (13?45 seats),Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
7308,18:00:00,Friday,Male,Other,Lorry (41?100Q),Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7309,18:00:00,Friday,Male,Other,Public (13?45 seats),Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7310,18:00:00,Friday,Male,Residential areas,Other,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
7311,18:00:00,Friday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
7312,12:30:00,Saturday,Male,Other,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7313,12:30:00,Saturday,Male,Other,Long lorry,Two-way (divided with broken lines road marking),No junction,Gravel roads,Dry,Daylight,Normal
7314,16:40:00,Saturday,Male,Other,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7315,16:40:00,Saturday,Male,Other,Pick up upto 10Q,Double carriageway (median),Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7316,16:40:00,Saturday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7317,19:31:00,Thursday,Male, Church areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Other,Dry,Darkness - lights lit,Normal
7318,19:31:00,Thursday,Male,Other,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7319,1:19:00,Monday,Male, Industrial areas,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7321,17:30:00,Thursday,Male,Other,Other,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7322,17:30:00,Thursday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7323,7:15:00,Wednesday,Female, Industrial areas,Pick up upto 10Q,Unknown,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7324,7:15:00,Wednesday,Male, Industrial areas,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7325,8:25:00,Monday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
7326,8:25:00,Monday,Male, Hospital areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
7327,14:55:00,Saturday,Male,Office areas,Other,One way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7328,11:25:00,Tuesday,Male, Church areas,Public (12 seats),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7329,11:25:00,Tuesday,Male, Hospital areas,Stationwagen,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7330,13:02:00,Monday,Male,Office areas,Lorry (41?100Q),other,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
7331,13:02:00,Monday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Raining
7332,13:02:00,Monday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Y Shape,Gravel roads,Wet or damp,Daylight,Raining
7333,12:42:00,Saturday,Female,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
7334,9:20:00,Tuesday,Male,Other,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7336,12:00:00,Saturday,Male,Residential areas,Public (12 seats),Undivided Two way,Other,Other,Dry,Daylight,Normal
7337,12:00:00,Saturday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Other,Asphalt roads,Dry,Daylight,Normal
7338,21:06:00,Wednesday,Male,Office areas,Stationwagen,Double carriageway (median),Other,Other,Dry,Darkness - lights lit,Normal
7339,13:48:00,Saturday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
7340,13:48:00,Saturday,Male,Office areas,Lorry (41?100Q),other,No junction,Asphalt roads,Wet or damp,Daylight,Normal
7341,13:48:00,Saturday,Male,Other,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
7342,13:48:00,Saturday,Male, Church areas,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Wet or damp,Daylight,Normal
7344,12:35:00,Monday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),Other,Asphalt roads,Dry,Daylight,Normal
7345,21:35:00,Saturday,Male, Church areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Other
7346,21:35:00,Saturday,Male,Office areas,Public (13?45 seats),Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Other
7347,17:55:00,Sunday,Male,Office areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Other
7348,15:40:00,Sunday,Male,Residential areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Wet or damp,Daylight,Normal
7349,8:28:00,Sunday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7350,8:28:00,Sunday,Male,Residential areas,Motorcycle,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7351,21:12:00,Wednesday,Male,Office areas,Public (12 seats),Double carriageway (median),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7352,19:15:00,Sunday,Female,Office areas,Lorry (41?100Q),Double carriageway (median),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7353,19:15:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7354,16:10:00,Friday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7355,19:48:00,Tuesday,Male,Residential areas,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
7356,19:48:00,Tuesday,Male, Church areas,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
7357,19:48:00,Tuesday,Male, Church areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Darkness - no lighting,Normal
7358,11:20:00,Tuesday,Male,Residential areas,Automobile,Double carriageway (median),Other,Asphalt roads,Dry,Daylight,Normal
7360,18:03:00,Thursday,Male,Office areas,Other,Two-way (divided with broken lines road marking),No junction,Earth roads,Dry,Daylight,Normal
7361,18:03:00,Thursday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7362,19:46:00,Friday,Male, Church areas,Public (13?45 seats),other,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7363,19:46:00,Friday,Male,Other,Public (13?45 seats),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7364,9:00:00,Tuesday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7365,9:00:00,Tuesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7366,17:05:00,Friday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7368,21:15:00,Thursday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7369,21:15:00,Thursday,Male, Church areas,Pick up upto 10Q,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7370,14:45:00,Thursday,Male,Other,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7371,14:45:00,Thursday,Male,Other,Lorry (41?100Q),One way,Y Shape,Gravel roads,Dry,Daylight,Normal
7372,14:45:00,Thursday,Male,Residential areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7373,16:30:00,Thursday,Male,Office areas,Stationwagen,One way,No junction,Earth roads,Dry,Daylight,Normal
7374,16:30:00,Thursday,Male, Industrial areas,Motorcycle,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7376,17:24:00,Monday,Male,Office areas,Other,Unknown,No junction,Asphalt roads,Dry,Daylight,Normal
7378,18:08:00,Friday,Male, Church areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
7380,22:24:00,Thursday,Male,  Recreational areas,Public (> 45 seats),One way,Other,Asphalt roads,Dry,Darkness - lights lit,Normal
7381,22:24:00,Thursday,Male,  Market areas,Automobile,Undivided Two way,Other,Asphalt roads,Dry,Darkness - lights lit,Normal
7382,18:30:00,Thursday,Male,Other,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7383,16:55:00,Friday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7384,16:55:00,Friday,Male, Industrial areas,Other,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7385,16:55:00,Friday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7386,16:40:00,Wednesday,Male,Office areas,Pick up upto 10Q,other,No junction,Asphalt roads,Dry,Daylight,Normal
7388,21:51:00,Friday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7389,21:51:00,Friday,Male,Office areas,Pick up upto 10Q,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7390,21:51:00,Friday,Male,Other,Automobile,other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7391,21:51:00,Friday,Male,Other,Lorry (41?100Q),other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7392,19:40:00,Friday,Male,Other,Automobile,Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7393,19:40:00,Friday,Male,Other,Lorry (41?100Q),other,Crossing,Asphalt roads,Dry,Daylight,Normal
7394,10:30:00,Monday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7395,10:30:00,Monday,Male, Church areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7396,17:30:00,Wednesday,Male,Office areas,Public (13?45 seats),Double carriageway (median),T Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7397,17:30:00,Wednesday,Male, Church areas,Automobile,other,X Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7398,16:00:00,Tuesday,Male,Other,Other,Two-way (divided with broken lines road marking),Y Shape,Earth roads,Dry,Daylight,Normal
7400,16:00:00,Tuesday,Male,School areas,Other,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7401,17:50:00,Thursday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),No junction,Other,Dry,Daylight,Normal
7402,17:50:00,Thursday,Male,Other,Other,other,No junction,Asphalt roads,Dry,Daylight,Normal
7403,19:47:00,Sunday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7404,19:47:00,Sunday,Male,Other,Public (12 seats),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7405,16:10:00,Monday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7406,16:10:00,Monday,Male,Office areas,Public (12 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7407,16:10:00,Monday,Male,Other,Lorry (41?100Q),Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7408,8:24:00,Monday,Male, Church areas,Other,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7409,8:24:00,Monday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7411,10:40:00,Wednesday,Male,Other,Public (> 45 seats),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Unknown
7412,10:40:00,Wednesday,Male,Residential areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Unknown
7413,10:40:00,Wednesday,Male,Residential areas,Other,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Unknown
7415,10:40:00,Wednesday,Female,Other,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Unknown
7417,14:23:00,Wednesday,Male,School areas,Pick up upto 10Q,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7418,6:40:00,Tuesday,Male,Other,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Wet or damp,Daylight,Normal
7420,9:21:00,Wednesday,Male, Church areas,Other,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7422,21:23:00,Monday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),No junction,Gravel roads,Wet or damp,Daylight,Normal
7423,21:23:00,Monday,Male,Residential areas,Other,Double carriageway (median),No junction,Asphalt roads,Wet or damp,Daylight,Normal
7425,19:50:00,Tuesday,Male,Office areas,Ridden horse,Undivided Two way,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining
7428,13:05:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Unknown
7429,13:05:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Unknown
7430,13:05:00,Friday,Male,Office areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Unknown
7431,18:35:00,Sunday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7432,18:35:00,Sunday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7433,19:10:00,Saturday,Male,Residential areas,Automobile,Double carriageway (median),Y Shape,Asphalt roads,Dry,Daylight,Normal
7434,19:10:00,Saturday,Male, Church areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7435,16:45:00,Wednesday,Male,Other,Pick up upto 10Q,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Cloudy
7436,16:45:00,Wednesday,Male,  Recreational areas,Taxi,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Cloudy
7438,18:18:00,Wednesday,Male,Office areas,Automobile,Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7440,13:35:00,Tuesday,Male,Office areas,Long lorry,other,Y Shape,Gravel roads,Dry,Daylight,Normal
7441,10:30:00,Monday,Male, Industrial areas,Public (12 seats),other,No junction,Asphalt roads,Dry,Daylight,Normal
7444,16:55:00,Monday,Male,Residential areas,Other,other,Other,Asphalt roads,Dry,Daylight,Normal
7445,16:55:00,Monday,Male, Industrial areas,Lorry (41?100Q),other,Other,Asphalt roads,Dry,Daylight,Normal
7446,16:55:00,Monday,Male,Residential areas,Automobile,Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7447,16:55:00,Monday,Male,Residential areas,Pick up upto 10Q,other,Other,Asphalt roads,Dry,Daylight,Normal
7448,16:55:00,Monday,Male,Office areas,Lorry (41?100Q),Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7449,15:30:00,Tuesday,Male,Office areas,Lorry (41?100Q),Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
7450,15:30:00,Tuesday,Male,Office areas,Long lorry,other,Crossing,Asphalt roads,Dry,Daylight,Normal
7451,15:30:00,Tuesday,Male,Office areas,Public (> 45 seats),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7452,19:45:00,Tuesday,Male,Office areas,Public (> 45 seats),One way,No junction,Asphalt roads,Dry,Darkness - lights lit,Other
7453,19:45:00,Tuesday,Male,Office areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Darkness - lights lit,Other
7454,13:54:00,Friday,Male,Office areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7455,13:54:00,Friday,Male,Residential areas,Automobile,other,Y Shape,Asphalt roads,Dry,Daylight,Normal
7456,16:40:00,Sunday,Male,Residential areas,Other,One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7457,16:40:00,Sunday,Male,Other,Public (12 seats),One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7458,16:40:00,Sunday,Male, Church areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7459,0:20:00,Friday,Male,  Recreational areas,Stationwagen,other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7460,0:20:00,Friday,Male, Industrial areas,Automobile,Undivided Two way,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7461,0:20:00,Friday,Male,Residential areas,Automobile,other,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal
7462,0:20:00,Saturday,Male,Residential areas,Automobile,other,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7465,7:10:00,Wednesday,Male,Unknown,Pick up upto 10Q,other,No junction,Asphalt roads,Wet or damp,Daylight,Raining and Windy
7466,7:10:00,Wednesday,Male, Industrial areas,Turbo,other,No junction,Asphalt roads,Wet or damp,Daylight,Raining and Windy
7467,3:15:00,Sunday,Female,Residential areas,Pick up upto 10Q,Two-way (divided with solid lines road marking),Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal
7468,13:13:00,Thursday,Male,Residential areas,Other,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Unknown
7469,13:13:00,Thursday,Male,Other,Stationwagen,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Unknown
7470,21:48:00,Monday,Male,Residential areas,Pick up upto 10Q,other,Other,Asphalt roads,Dry,Darkness - lights lit,Normal
7471,21:48:00,Monday,Male,Rural village areas,Lorry (41?100Q),Undivided Two way,Other,Asphalt roads,Dry,Darkness - lights lit,Normal
7472,13:12:00,Saturday,Male,Rural village areas,Lorry (41?100Q),Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7473,13:12:00,Saturday,Male,Office areas,Automobile,Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7474,14:52:00,Monday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7475,14:52:00,Monday,Male,Residential areas,Pick up upto 10Q,other,No junction,Asphalt roads,Dry,Daylight,Normal
7476,18:39:00,Wednesday,Male, Outside rural areas,Pick up upto 10Q,other,No junction,Asphalt roads,Dry,Daylight,Normal
7477,18:39:00,Wednesday,Male,Residential areas,Lorry (41?100Q),other,No junction,Asphalt roads,Dry,Daylight,Normal
7478,19:45:00,Saturday,Male, Church areas,Public (12 seats),other,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy
7479,19:45:00,Saturday,Male,Office areas,Other,Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Windy
7480,19:45:00,Saturday,Male,Office areas,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Windy
7481,19:45:00,Saturday,Male,Office areas,Automobile,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Wet or damp,Daylight,Windy
7482,14:57:00,Friday,Male,Other,Automobile,Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7483,14:57:00,Friday,Male,Other,Lorry (41?100Q),Undivided Two way,Other,Asphalt roads,Dry,Daylight,Normal
7484,21:43:00,Friday,Male,Residential areas,Stationwagen,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7485,21:43:00,Friday,Male,Other,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Darkness - lights lit,Normal
7486,16:45:00,Monday,Male,Other,Public (> 45 seats),Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7487,17:53:00,Sunday,Male,Other,Automobile,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7488,17:53:00,Sunday,Male,Other,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
7489,18:25:00,Wednesday,Male,Other,Automobile,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
7491,18:25:00,Wednesday,Male, Church areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7492,12:00:00,Saturday,Male,Other,Lorry (41?100Q),Undivided Two way,Crossing,Asphalt roads,Dry,Daylight,Normal
7493,12:00:00,Saturday,Male, Industrial areas,Automobile,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Dry,Daylight,Normal
7494,12:00:00,Saturday,Male,Residential areas,Stationwagen,Double carriageway (median),Crossing,Asphalt roads,Dry,Daylight,Normal
7495,18:29:00,Thursday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7496,18:29:00,Thursday,Male,Office areas,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7497,18:29:00,Thursday,Male, Industrial areas,Automobile,Unknown,No junction,Asphalt roads,Dry,Daylight,Normal
7498,18:29:00,Thursday,Male, Industrial areas,Public (12 seats),Double carriageway (median),No junction,Asphalt roads,Dry,Daylight,Normal
7499,8:45:00,Wednesday,Male,Other,Public (12 seats),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7500,8:45:00,Wednesday,Male, Hospital areas,Lorry (41?100Q),Two-way (divided with broken lines road marking),No junction,Asphalt roads,Dry,Daylight,Normal
7501,14:10:00,Monday,Male,Office areas,Automobile,One way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7502,14:10:00,Monday,Male, Church areas,Lorry (41?100Q),Undivided Two way,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal
7504,17:59:00,Friday,Male,Office areas,Automobile,other,No junction,Asphalt roads,Dry,Daylight,Normal
7505,7:19:00,Wednesday,Male,Other,Stationwagen,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Dry,Daylight,Normal
7508,15:10:00,Friday,Male,Other,Automobile,Double carriageway (median),O Shape,Asphalt roads,Dry,Daylight,Normal
7509,10:53:00,Monday,Male,Office areas,Stationwagen,Undivided Two way,Y Shape,Asphalt roads,Dry,Daylight,Normal
7510,12:10:00,Tuesday,Male,Residential areas,Automobile,Undivided Two way,No junction,Asphalt roads,Dry,Daylight,Normal
